,body,cites_papers
135,New E  Pliocene species ofMesoplodon  Calibration for radiation of this beaked whale genus    - v,[4991481]
136,New fossil beaked whale from  Belgium named in honor of   curator Klaas Post,[4991481]
137,New fossil beaked whale from  Belgium named in honor of   curator Klaas Post  ,[4991481]
138,A new early Pliocene species of Mesoplodon  calibration mark for radiation of this species-rich beaked whale genus,[4991481]
139,Whale Wednesday is back! Check out,[4991481]
140,"New ICTJA paper  Seismicity and active tectonics in the Alboran Sea, Western Mediterranean",[4991935]
141,"Huge congrats to  , Phil and    on their new paper on bias affecting  pterosaur record",[4992608]
142,Understanding pterosaur evolution  how does exceptional preservation bias the fossil record?,[4992608]
143,Preservational bias controls the fossil record of pterosaurs  Dean  20,"[4992608,4992608]"
144,Preservational bias controls the fossil record of pterosaurs,[4992608]
145,Understanding pterosaur evolution  how does exceptional preservation bias the fossil record? ,[4992608]
146,Preservational bias controls the  fossilrecord of  pterosaurs,[4992608]
147,If anyone else wants to chuck one my way I'll love you forever and stuff,[4992608]
148,Oceanography OS  Spatial scales of temperature and salinity variability estimated from Argo observations,[4993272]
149,OS Spatial scales of temperature and salinity variability estimated from Argo observations,[4993272]
150,New CP discussion  An interactive tool for navigation within a database of water and carbon stable isotope rec,[4993825]
151,CP An interactive tool for navigation within a database of water and carbon stable isotope records from natural a,[4993825]
152,An interactive tool for navigation within a database of water and carbon stable isotope records from natural,[4993825]
153,Clear morphological disparity of appendicular skeletal traits quantified across fish-tetrapod transition,[4993897]
154,Comparable disparity in the appendicular skeleton across the  fish tetrapod transition,[4993897]
155,"""Decoding the oxygen isotope signal for seasonal growth patterns in Arctic bivalves""",[4994254]
156,Paper by Vihtakari et al  about Decoding the oxygen isotope signal for seasonal growth patterns in Arctic bivalves,[4994254]
157,batescollege William Ambrose in Biology writes on growth patterns in Arctic bivalve mollusks,[4994254]
158,batescollege Will Ambrose researches seasonal growth of Arctic bivalves as an archive for environmental change,[4994254]
159,"Systematic reassessment of an agriochoerid oreodont from the Hancock Mammal Quarry, Clarno  Eocene , Oregon",[4995129]
160,"Well, it finally happened  Meaghan is now a published author  Woot!",[4995129]
161,"Systematics of an agriochoerid oreodont from Hancock Mammal Quarry, Clarno, Oregon     - v",[4995129]
162,Alexandronectes zealandiensis a new plesiosaur from lower Maastrichtian of New Zealand    - v,[4996107]
163,New  plesiosaur from New Zealand  Alexandronectes  paleontology,[4996107]
164,CPD - Interhemispheric bias in earth's climate response to orbital forcing,[4996835]
165,New CP discussion  Interhemispheric bias in earth's climate response to orbital forcing,[4996835]
166,CP Interhemispheric bias in earth's climate response to orbital forcing,[4996835]
167,Interhemispheric bias in earth's climate response to orbital forcing,[4996835]
168,CPD - Dynamical downscaling of the WN Pacific from CCSM4 during the LGM and late 20th century using the WRF model,[4996840]
169,New CP discussion  Dynamical downscaling of the western North Pacific from CCSM4 simulations during the last g,[4996840]
170,CP Dynamical downscaling of the western North Pacific from CCSM4 simulations during the last glacial maximum and ,[4996840]
